ID,Thông điệp,Ý nghĩa,Cơ chế game
1,Chúng ta là một. Làm đau người khác là tự làm đau mình.,"Không có ai xa lạ cả. Mọi người đều kết nối với nhau, giúp người khác cũng chính là giúp bản thân.","Khi giúp đỡ NPC, người chơi được hồi máu. Khi đánh NPC lương thiện, người chơi tự mất máu."
2,Thượng đế không đứng ra phán xét hay phạt ai cả. Chỉ có tình thương thôi.,Đừng sợ bị ông trời trừng phạt. Cuộc sống luôn bao dung và cho con cơ hội sửa sai.,Không có hệ thống phạt điểm ác. Nhân vật có thể làm lại từ đầu bất cứ lúc nào.
3,Ta luôn trò chuyện với con qua trực giác và những điềm báo xung quanh.,Hãy lắng nghe cảm xúc bên trong và chú ý đến những sự trùng hợp ngẫu nhiên trong ngày.,Tính năng 'Lắng nghe trực giác' sẽ hiển thị các gợi ý ẩn trên bản đồ.
4,"Những gì con làm cho người bên cạnh, con đang làm cho chính mình.",Mọi hành động tử tế hay ích kỷ con gieo đi đều sẽ quay trở lại với con.,Mọi bùa lợi (buff) hay hồi máu dùng cho đồng đội đều tác động ngược lại người chơi.
5,Con không cần phải gồng gánh hay cố gắng trở thành ai khác ngoài chính mình.,"Con đã hoàn hảo rồi. Hãy thả lỏng, bớt áp lực phải thành công hay làm vừa lòng người khác.",Mở khóa màn chơi ẩn 'Thả lỏng' bằng cách để nhân vật đứng yên không làm gì trong 1 phút.
6,Mỗi người con gặp trên đời đều mang đến một bài học hoặc một món quà.,Kể cả những người gây khó dễ cho con cũng đang giúp con tập kiên nhẫn và mạnh mẽ hơn.,Tất cả đối thủ sau khi bại trận đều rơi ra mảnh ghép kinh nghiệm giúp tăng điểm thông thái.
7,"Ta có mặt ở khắp mọi nơi, trong từng hơi thở và khoảnh khắc hiện tại của con.",Đừng tìm kiếm Thượng đế ở đâu xa xôi. Ngài ở ngay trong sự tĩnh lặng của lòng con.,Nhân vật hồi thể lực nhanh hơn khi đứng yên ở những khu vực yên tĩnh.
8,"Ta và con giống nhau, khác biệt duy nhất là Ta nhớ Ta là ai, còn con thì tạm quên.","Bên trong con có sẵn sức mạnh phi thường, chỉ là con đang tạm quên mất do lo âu thôi.",Sử dụng kỹ năng 'Nhớ lại' để kích hoạt trạng thái vô địch trong 5 giây.
9,Vũ trụ không có luật lệ bắt buộc. Con hoàn toàn tự do lựa chọn cuộc đời mình.,Không có định mệnh ép buộc con. Con tự chọn nước đi và tự chịu trách nhiệm với nó.,"Trò chơi không có tường vô hình, người chơi có thể đi bất cứ hướng nào mình thích."
10,"Khi con tìm thấy sự bình yên bên trong, con đã kết nối được với Ta.",Chữa lành bắt đầu từ việc dừng suy nghĩ quá nhiều và quay về với hơi thở.,Nhịp tim nhân vật giảm xuống giúp miễn nhiễm với các hiệu ứng hoảng sợ.
11,Ta luôn đồng ý với mọi quyết định của con và để con tự trải nghiệm.,"Vũ trụ luôn ủng hộ những gì con thực sự muốn làm, dù là bài học thành hay bại.",Mọi quyết định chọn thoại của người chơi đều mở ra một nhánh cốt truyện riêng.
12,Thực ra chỉ có một dòng năng lượng duy nhất kết nối tất cả chúng ta.,"Sự chia rẽ chỉ là vẻ bề ngoài. Sâu bên trong, mọi sinh mệnh đều chung một nguồn sống.","Khi một thành viên trong đội được tăng sức mạnh, cả đội đều được hưởng lợi."
13,"Ta có mặt trong cả niềm vui lẫn nỗi buồn, cả ánh sáng lẫn bóng tối.","Đừng né tránh nỗi buồn, nó là một phần cần thiết để con cảm nhận trọn vẹn niềm vui.",Nhân vật nhận thêm điểm kinh nghiệm khi vượt qua các khu vực thời tiết khắc nghiệt.
14,Sự ghét bỏ và chia rẽ là gốc rễ của mọi nỗi đau trên đời.,"Khi ngừng phân biệt đối xử và bao dung hơn, cuộc sống sẽ tự khắc nhẹ nhàng.",Chọn giải pháp hòa giải thay vì chiến đấu sẽ nhận được phần thưởng danh dự lớn.
