ID,Thông điệp,Ý nghĩa,Cơ chế game
1,Mọi hành động của con chỉ đến từ hai nguồn: Tình yêu hoặc Sợ hãi.,Mỗi lựa chọn trong đời đều là chọn mở lòng ra hay co rút lại.,"Hệ thống năng lượng: Lựa chọn hành động Tình yêu tăng hào quang, Sợ hãi tăng giáp phòng thủ."
2,"Tình yêu mở rộng và sẻ chia, còn sợ hãi co rút và giấu giếm.","Khi yêu thương con thấy tự do, khi sợ hãi con thấy ngột ngạt.","Phép thuật năng lượng: Kỹ năng Tình yêu mở rộng tầm nhìn bản đồ, kỹ năng Sợ hãi thu hẹp góc nhìn."
3,"Khi bối rối, hãy tự hỏi: Tình yêu sẽ làm gì lúc này?",Câu hỏi đơn giản này sẽ lập tức chỉ cho con hướng đi đúng nhất.,Tính năng gợi ý thoại: Bấm nút 'Lắng nghe' để hiện lựa chọn Tình yêu trong các cuộc hội thoại khó.
4,Sợ hãi chỉ thu hút đúng những gì con đang lo sợ.,"Càng lo lắng về điều xấu, con càng vô tình kéo nó về phía mình.",Cơ chế tâm lý: Nhân vật lo sợ sẽ bị tăng tỉ lệ gặp quái vật; khi bình tĩnh quái vật sẽ tự rút lui.
5,Sự tức giận thực ra chỉ là nỗi sợ hãi đang đeo mặt nạ.,"Khi ai đó nổi giận, họ đang hoảng sợ và cần được thấu hiểu.",Cơ chế thuần hóa: Dùng lời nói ôn hòa với kẻ địch đang giận dữ sẽ làm giảm 50% sức tấn công của họ.
6,Con không cần phải làm gì để trở nên xứng đáng được yêu thương.,"Tình yêu thương là bản chất tự nhiên, không phải phần thưởng phải tranh đoạt.",Cơ chế Ân sủng: Nhân vật tự động hồi phục sức khỏe khi dừng lại và nghỉ ngơi mà không tốn bình máu.
7,"Đừng sợ thất bại, chẳng có sai lầm nào là vĩnh viễn cả.",Mọi trải nghiệm chỉ là bài thử nghiệm để con biết mình thích gì hơn.,Hệ thống điểm kinh nghiệm: Mọi lần thua cuộc đều cộng điểm 'Kinh nghiệm rút ra' để nâng cấp kỹ năng.
8,Thượng đế không bao giờ trừng phạt con vì những lỡ vội.,Sự trừng phạt duy nhất là cảm giác dằn vặt do chính con tự tạo ra.,"Hệ thống Karma: Xóa bỏ điểm tội lỗi, thay bằng thanh 'Tự do nhận thức'."
9,Tình yêu thực sự luôn trao đi sự tự do tuyệt đối.,"Yêu ai đó là để họ làm chính họ, chứ không phải ép họ theo ý mình.",Nhiệm vụ đồng hành: Cho phép đồng minh tự do di chuyển sẽ tăng 30% hiệu quả chiến đấu của họ.
10,Hãy tha thứ cho chính mình trước khi muốn tha thứ cho người khác.,Con không thể cho đi thứ mà bên trong con đang thiếu hụt.,Cơ chế Giải độc tâm trí: Tự tha thứ giúp xóa bỏ toàn bộ hiệu ứng trúng độc và suy nhược.
11,Nỗi sợ lớn nhất là sợ mình không đủ giỏi.,"Con vốn dĩ đã trọn vẹn, chỉ là con quên mất sức mạnh của mình thôi.","Buff nội tại: Khi gạt bỏ nghi ngờ, nhân vật được tăng 20% chỉ số sức mạnh nền."
12,"Không có bóng tối, con sẽ chẳng thể nhận ra ánh sáng rực rỡ.",Khó khăn xuất hiện chỉ để làm nổi bật sự mạnh mẽ bên trong con.,"Cơ chế Tương phản: Trong hang tối hoặc đêm đen, sức mạnh kỹ năng của nhân vật tăng gấp đôi."
13,Tình yêu không phải là sự đánh đổi hay hy sinh cay đắng.,"Khi yêu thương đúng nghĩa, cả hai bên đều cảm thấy tràn đầy.",Tương tác NPC: Lựa chọn giúp đỡ không đòi hỏi thù lao sẽ nhận được phần thưởng ẩn giá trị hơn.
14,Bao dung là nhìn thấu vẻ đẹp đằng sau những vụng dại.,Người làm tổn thương kẻ khác thường là người đang mang nhiều vết thương nhất.,Kỹ năng Nhìn thấu: Hiển thị câu chuyện quá khứ của đối thủ để mở ra phương án hòa giải.
15,"Nỗi sợ khiến con thu mình, tình yêu chắp cánh cho con bay.",Hãy can đảm bước ra khỏi vùng an toàn để khám phá thế giới.,Mở khóa bản đồ: Bước vào vùng đất mới giúp nhân vật tăng tốc độ di chuyển.
16,Đừng bám chặt lấy mọi thứ vì sợ mất mát.,"Càng nắm chặt cát trong tay, cát càng trôi qua kẽ tay nhanh hơn.",Cơ chế Buông bỏ: Bỏ bớt vật phẩm dư thừa trong túi đồ giúp tăng tốc độ đánh và né tránh.
17,Tình yêu vô điều kiện không bao giờ đặt ra điều kiện 'nếu... thì...'.,Yêu là đón nhận trọn vẹn mà không bắt đối phương phải thay đổi.,Chỉ số Thiện cảm: Tăng tối đa khi chấp nhận quyết định riêng của các nhân vật đồng hành.
18,Căng thẳng xuất hiện khi con cố kiểm soát những thứ không thuộc về mình.,Hãy thả lỏng và tin tưởng vào dòng chảy tự nhiên của cuộc sống.,Cơ chế Giảm Bão Hòa: Đứng yên hít thở trong 5 giây giúp làm sạch mọi trạng thái bất lợi.
19,Hãy đối xử với bản thân bằng sự dịu dàng mà con dành cho người bạn thân.,Con xứng đáng nhận được sự chăm sóc từ chính mình.,Tính năng Chăm sóc: Đốt lửa trại và nghỉ ngơi giúp phục hồi năng lượng tối đa.
20,Sợ hãi chỉ là một ảo giác do trí óc tự vẽ ra.,"Nó giống như bóng đen trên tường, biến mất ngay khi con bật đèn lên.",Chiêu thức Ánh sáng: Phát sáng xung quanh khiến các ảo ảnh sợ hãi tự động tan biến.
21,Sự ghét bỏ là liều thuốc độc con uống nhưng mong người khác đổ gục.,Hãy buông bỏ giận hờn để tự giải thoát cho chính mình.,Xóa Debuff: Xóa bỏ sự thù hằn giúp làm đầy thanh năng lượng tức thì.
22,"Khi con chọn tình yêu, cả vũ trụ sẽ đứng về phía con.",Năng lượng tích cực luôn thu hút những điều tốt đẹp tương ứng.,Cơ chế May mắn: Lựa chọn hành động tử tế làm tăng 50% tỉ lệ may mắn ngẫu nhiên.
23,Hãy nhìn mọi thử thách như một trò chơi đố vui thú vị.,Đừng biến cuộc đời thành một bản án nặng nề.,Giao diện Game: Chuyển đổi nhạc nền sang giai điệu vui tươi khi bước vào trận đấu boss.
24,"Lòng nhân từ là sức mạnh lớn nhất, không phải là sự yếu đuối.",Mềm mại như nước nhưng có thể làm mòn cả đá cứng.,Chiêu thức Thủy năng: Dùng nước dập tắt các đòn tấn công lửa bạo lực.
25,Con luôn an toàn trong vòng tay của cuộc sống.,Không có gì có thể hủy hoại được bản chất tinh thần của con.,"Nội tại Bất tử: Linh hồn không bị tiêu diệt, chỉ chuyển sinh về điểm lưu gần nhất."
26,"Chúng ta chỉ là Một, không hề có sự chia rẽ thực sự.",Mọi người xung quanh đều là những mảnh ghép khác của chính con.,Cơ chế Cộng hưởng: Mọi hỗ trợ gieo cho đồng đội đều tự động phục hồi cho bản thân.
27,Giúp đỡ người khác chính là đang giúp đỡ chính mình.,"Khi con trao đi nụ cười, người nhận được niềm vui đầu tiên là con.",Tăng điểm Uy tín: Mọi hành động giúp dân làng đều làm tăng sức mạnh tổng thể của nhóm.
28,"Đừng làm tổn thương ai, vì nỗi đau đó sẽ dội ngược lại con.",Làm đau người khác giống như tay trái tự đánh vào tay phải.,Phản sát thương: Gây sát thương vô lý lên NPC lành tính sẽ khiến nhân vật tự mất máu.
29,Những người con gặp hôm nay đều mang đến một bài học.,Không có sự gặp gỡ nào là ngẫu nhiên hay vô nghĩa cả.,Hệ thống Ký ức: Mỗi NPC mới gặp đều bổ sung một trang tri thức vào sổ tay phiêu lưu.
30,"Con người phân chia ranh giới, còn tự nhiên thì không.",Mặt trời chiếu sáng cho tất cả mọi người không phân biệt.,"Môi trường mở: Không có bức tường vô hình, người chơi tự do di chuyển khắp cõi giới."
31,Hãy nhìn người đối diện như một phiên bản khác của con.,"Họ cũng có những lo âu, ước mơ và tổn thương giống hệt con.",Tính năng Đồng cảm: Hiển thị mức độ cảm xúc của đối phương trong hội thoại.
32,Chiến tranh và xung đột sinh ra từ ảo tưởng chia rẽ.,"Khi nghĩ mình tách biệt, con người mới dễ dàng tấn công nhau.",Nhiệm vụ Hòa bình: Mở khóa kết cục hòa giải bằng cách kết nối các phe phái tranh chấp.
33,"Con là một giọt nước trong đại dương, và cũng chính là cả đại dương.",Một hành động nhỏ của con cũng tạo ra sóng lan tỏa khắp nơi.,Cơ chế Hiệu ứng Bướm: Lựa chọn nhỏ ở làng đầu tiên ảnh hưởng đến cục diện thành phố cuối.
34,Trái Đất này là ngôi nhà chung của tất cả sinh linh.,Hãy bảo vệ thiên nhiên như bảo vệ chính căn nhà của con.,Hệ thống Môi trường: Trồng cây và làm sạch nguồn nước giúp tăng chỉ số sức sống khu vực.
35,Không ai là một hòn đảo cô độc giữa đại dương.,Chúng ta cần có nhau để hoàn thiện những trải nghiệm cuộc đời.,Tính năng Đội nhóm: Tạo lập tổ đội giúp mở khóa các kỹ năng hợp kích mạnh mẽ.
36,Lòng trắc ẩn xuất hiện khi con thấy mình trong nỗi đau người khác.,Sự thấu hiểu xóa tan mọi khoảng cách giữa người với người.,Cơ chế Chữa lành: Đứng gần đồng đội đang yếu máu giúp tự động hồi phục cho họ.
37,Kẻ thù lớn nhất thực ra chỉ là chiếc gương phản chiếu nỗi sợ của con.,Đối diện với kẻ thù là cơ hội để con chiến thắng bản ngã.,Cơ chế Soi gương: Boss cuối chính là phiên bản bóng tối của chính người chơi.
38,Đừng phán xét con đường của người khác.,"Con không đi trong đôi giày của họ, sao biết họ đã trải qua những gì.",Hội thoại Nhập vai: Loại bỏ các tùy chọn phán xét chỉ trích NPC.
39,Chia sẻ sự đủ đầy làm cho sự đủ đầy nhân lên gấp bội.,"Cho đi không mất đi, mà là mở rộng dòng chảy tích cực.",Hệ thống Bán hàng: Tặng quà cho thương nhân giúp hạ giá toàn bộ cửa hàng.
40,Tất cả chúng ta đều đang trên đường trở về Nhà.,"Mỗi người đi với tốc độ khác nhau, nhưng đích đến là một.",Điểm Lưu Game: Tất cả các con đường cuối cùng đều dẫn về Thánh điện Trung tâm.
41,Sự tha thứ là chìa khóa mở cánh cửa gông cồng chia rẽ.,"Khi buông hận thù, con mới thực sự được tự do.",Giải phóng Phong ấn: Tha thứ cho kẻ phản bội giúp giải phóng nguồn năng lượng ẩn.
42,Hãy sống sao cho thế giới tốt đẹp hơn nhờ sự hiện diện của con.,Mỗi ngày hãy gieo ít nhất một hạt giống tử tế.,Nhiệm vụ Hằng ngày: Hoàn thành 1 việc tốt nhỏ để nhận Lời chúc lành Vũ trụ.
43,Muôn loài đều thở chung một bầu khí quyển.,Mọi sự sống đều thiêng liêng và đáng được tôn trọng.,Cơ chế Thân thiện Tự nhiên: Quái vật dại trong rừng không chủ động tấn công người chơi.
44,Sự gắn kết không nằm ở lời nói mà ở sự cộng hưởng tâm hồn.,Đôi khi chỉ cần một ánh mắt thấu hiểu là đủ.,Tương tác Không Lời: Chọn biểu cảm mỉm cười để hoàn thành nhiệm vụ mà không cần nói.
45,Mọi ranh giới phe phái đều do con người tự vẽ ra.,Xóa bỏ ranh giới là bước đầu tiên của sự trưởng thành.,Tính năng Xuyên Quốc gia: Tự do giao thương và kết bạn với mọi phe phái trong game.
46,Tự nhiên không bao giờ tích trữ quá mức cần thiết.,Hãy sống đơn giản để mọi người cùng có đủ.,Túi đồ Tối giản: Giới hạn dung lượng kho giúp người chơi tập trung vào đồ thiết yếu.
47,"Khi con vui, cả vũ trụ cùng mỉm cười với con.",Trạng thái cảm xúc của con ảnh hưởng đến năng lượng xung quanh.,"Thời tiết Ý thức: Khi nhân vật vui vẻ, trời quang mây tạnh; khi buồn rầu, trời đổ mưa."
48,"Đừng tìm kiếm sự khác biệt để tranh chấp, hãy tìm điểm chung để gắn kết.",Tập trung vào những gì nối liền chúng ta.,Kỹ năng Thương lượng: Tìm điểm chung trong hội thoại giúp giảm 80% độ khó đàm phán.
49,Con là một nốt nhạc độc đáo trong bản hòa tấu vũ trụ.,Hãy chơi đúng nốt nhạc của mình để bản nhạc được trọn vẹn.,Mini-game Âm nhạc: Khung cảnh hòa tấu cộng hưởng mở ra cánh cổng bí mật.
50,Chúng ta cùng chung một nguồn gốc và cùng chung một tương lai.,Hãy nắm tay nhau cùng bước tiếp trên hành trình này.,Chế độ Co-op: Hỗ trợ người chơi mới giúp cả hai cùng nhận được danh hiệu đặc biệt.
51,Sức mạnh tối thượng chỉ tồn tại trong khoảnh khắc Bây giờ.,"Quá khứ đã qua, tương lai chưa tới, chỉ có hiện tại là thật.",Cơ chế Ngưng đọng Thời gian: Tập trung vào khoảnh khắc hiện tại giúp làm chậm thời gian xung quanh.
52,Đừng sống trong hoài niệm quá khứ hay lo âu tương lai.,Con đang bỏ lỡ vẻ đẹp của chính giây phút này.,Thanh Năng lượng Hiện tại: Chỉ tăng điểm khi nhân vật thực sự hoạt động trong hiện tại.
53,Mỗi khoảnh khắc là một sự khởi đầu mới tinh khôi.,Con có quyền chọn lại phiên bản của mình ngay lúc này.,Cơ chế Reset Kỹ năng: Có thể phân bổ lại điểm tiềm năng bất cứ lúc nào không tốn phí.
54,Chờ đợi điều kiện hoàn hảo mới hạnh phúc là một cái bẫy.,Hãy chọn hạnh phúc ngay bây giờ với những gì đang có.,Buff Trạng thái: Kích hoạt buff 'Hài lòng' giúp tăng 15% tất cả chỉ số.
55,Thở một hơi thật sâu và nhận biết con đang sống.,Hơi thở là chiếc neo đưa con trở về với hiện tại.,Kỹ năng Điều hòa: Hít thở sâu trong 3 giây giúp hồi phục hoàn toàn thanh thể lực.
56,"Cuộc đời không phải là chuyến đi đến đích, mà là chuyến thưởng ngoạn.",Hãy tận hưởng từng bước chân trên con đường đi.,Thưởng Khám phá: Nhận điểm kinh nghiệm khi đi dạo và ngắm các cảnh đẹp trên bản đồ.
57,"Đừng vội vã, mọi thứ đều diễn ra đúng thời điểm của nó.","Hoa nở đúng mùa, trái chín đúng cây, hãy kiên nhẫn.",Cơ chế Tự nhiên: Cây trồng và vật phẩm tự sinh trưởng theo chu kỳ thời gian thực.
58,"Sự lo lắng không làm cho ngày mai tốt hơn, nó chỉ làm hôm nay tệ đi.",Hãy trút bỏ gánh nặng suy nghĩ không cần thiết.,Giảm Debuff: Buông bỏ lo âu giúp xóa trạng thái mệt mỏi thể xác.
