ID,Chủ đề,Thông điệp,Lời giảng & Câu chuyện,Hành động thức tỉnh,Cơ chế game
1,Nhất Thể,"Chúng ta chỉ là Một. Không hề có sự tách biệt nào giữa Ta và con, giữa con và mọi người xung quanh.","Thông điệp này từ Quyển 1 chạm đến cốt tủy của Chân lý tối hậu: Sự chia rẽ chỉ là một ảo ảnh vật lý. Trong thế giới thực tại siêu hình, không có ranh giới giữa Ta (Thượng đế) và con, hay giữa con và vạn vật. Khi con hiểu rằng 'Chúng ta chỉ là Một. Không hề có sự tách biệt nào giữa Ta và con, giữa con và mọi người xung quanh.', con nhận ra mọi hành động con gieo cho thế giới đều dội ngược lại chính mình, bởi vì tất cả chúng ta đều là các tế bào trên một cơ thể thiêng liêng duy nhất.","Khi con thấy mệt mỏi hay mất ngủ, hãy thả lỏng và ngưng gồng gánh thế giới một mình. Hãy nhận thức rằng con đang kết nối với dòng sinh lực vũ trụ. Lời nhắc 'Chúng ta chỉ là Một. Không hề có sự tách biệt nào giữa Ta và con, giữa con và mọi người xung quanh.' là để con hiểu rằng sự an yên của con cũng là sự an yên của vũ trụ. Hãy ôm lấy chính mình và gửi tình yêu đến vạn vật để xoa dịu tâm trí lo âu.","Cơ chế 'Nhất Thể' (Oneness Gauge): Thiết lập một thanh liên kết năng lượng giữa người chơi và môi trường/NPC. Khi người chơi gây sát thương hoặc giúp đỡ kẻ khác, một lượng hiệu ứng (heal hoặc tổn thương) tương ứng sẽ dội ngược lại bản thân. Lựa chọn hội thoại thể hiện tinh thần 'Chúng ta chỉ là Một. Không hề có sự tách biệt nào giữa Ta và con, giữa con và mọi người xung quanh.' sẽ mở khóa dòng năng lượng cộng hưởng, hồi sinh khí lực (HP/MP) cho cả đội mà không cần dùng vật phẩm."
2,Bản Chất Thượng Đế,"Ta không phải là một vị thần phán xét hay trừng phạt. Ta là năng lượng sáng tạo, là tình yêu thuần khiết bao trùm vạn vật.","Thượng đế trong đối thoại không phải là đấng phán xét râu trắng đứng trên cao để cân đo tội lỗi, mà chính là Nguồn năng lượng Tình yêu vô điều kiện bao trùm vạn vật. Lời khẳng định 'Ta không phải là một vị thần phán xét hay trừng phạt. Ta là năng lượng sáng tạo, là tình yêu thuần khiết bao trùm vạn vật.' làm sụp đổ hoàn toàn mọi tín điều tôn giáo sợ hãi truyền thống. Ta đồng hành, trải nghiệm và tự nhận biết mình qua từng niềm vui, nỗi buồn và cả những sai lầm của con.","Đừng tự trách phạt bản thân khi con cảm thấy trì trệ hay không ngủ được. Thượng đế yêu thương con vô điều kiện ngay cả khi con cảm thấy mình 'bất toàn' nhất. Hãy nhắm mắt lại, cảm nhận thông điệp 'Ta không phải là một vị thần phán xét hay trừng phạt. Ta là năng lượng sáng tạo, là tình yêu thuần khiết bao trùm vạn vật.' như một cái ôm ấm áp và buông bỏ mọi gánh nặng phán xét để chìm vào giấc ngủ an lành.","Cơ chế 'Hội thoại Thượng đế' (Divine Conversation): Khi người chơi gặp các thần linh hoặc đền thờ, thay vì nhận nhiệm vụ diệt quái thông thường, họ sẽ đối thoại dựa trên câu nói 'Ta không phải là một vị thần phán xét hay trừng phạt. Ta là năng lượng sáng tạo, là tình yêu thuần khiết bao trùm vạn vật.'. Lựa chọn tin tưởng vào bản tính bao dung sẽ xóa bỏ hoàn toàn các debuff (nguyền rủa, lo âu) của nhân vật và ban cho họ nội tại 'Tự do Ý chí' (miễn nhiễm khống chế)."
3,Bản Chất Thượng Đế,"Ta nói chuyện với tất cả mọi người, mọi lúc. Câu hỏi không phải là Ta nói chuyện với ai, mà là ai đang lắng nghe.","Thượng đế trong đối thoại không phải là đấng phán xét râu trắng đứng trên cao để cân đo tội lỗi, mà chính là Nguồn năng lượng Tình yêu vô điều kiện bao trùm vạn vật. Lời khẳng định 'Ta nói chuyện với tất cả mọi người, mọi lúc. Câu hỏi không phải là Ta nói chuyện với ai, mà là ai đang lắng nghe.' làm sụp đổ hoàn toàn mọi tín điều tôn giáo sợ hãi truyền thống. Ta đồng hành, trải nghiệm và tự nhận biết mình qua từng niềm vui, nỗi buồn và cả những sai lầm của con.","Đừng tự trách phạt bản thân khi con cảm thấy trì trệ hay không ngủ được. Thượng đế yêu thương con vô điều kiện ngay cả khi con cảm thấy mình 'bất toàn' nhất. Hãy nhắm mắt lại, cảm nhận thông điệp 'Ta nói chuyện với tất cả mọi người, mọi lúc. Câu hỏi không phải là Ta nói chuyện với ai, mà là ai đang lắng nghe.' như một cái ôm ấm áp và buông bỏ mọi gánh nặng phán xét để chìm vào giấc ngủ an lành.","Cơ chế 'Hội thoại Thượng đế' (Divine Conversation): Khi người chơi gặp các thần linh hoặc đền thờ, thay vì nhận nhiệm vụ diệt quái thông thường, họ sẽ đối thoại dựa trên câu nói 'Ta nói chuyện với tất cả mọi người, mọi lúc. Câu hỏi không phải là Ta nói chuyện với ai, mà là ai đang lắng nghe.'. Lựa chọn tin tưởng vào bản tính bao dung sẽ xóa bỏ hoàn toàn các debuff (nguyền rủa, lo âu) của nhân vật và ban cho họ nội tại 'Tự do Ý chí' (miễn nhiễm khống chế)."
4,Nhất Thể,"Điều mà con làm cho bản thân, con cũng đang làm cho người khác. Và điều con làm cho người khác, con đang làm cho chính mình.","Thông điệp này từ Quyển 1 chạm đến cốt tủy của Chân lý tối hậu: Sự chia rẽ chỉ là một ảo ảnh vật lý. Trong thế giới thực tại siêu hình, không có ranh giới giữa Ta (Thượng đế) và con, hay giữa con và vạn vật. Khi con hiểu rằng 'Điều mà con làm cho bản thân, con cũng đang làm cho người khác. Và điều con làm cho người khác, con đang làm cho chính mình.', con nhận ra mọi hành động con gieo cho thế giới đều dội ngược lại chính mình, bởi vì tất cả chúng ta đều là các tế bào trên một cơ thể thiêng liêng duy nhất.","Khi con thấy mệt mỏi hay mất ngủ, hãy thả lỏng và ngưng gồng gánh thế giới một mình. Hãy nhận thức rằng con đang kết nối với dòng sinh lực vũ trụ. Lời nhắc 'Điều mà con làm cho bản thân, con cũng đang làm cho người khác. Và điều con làm cho người khác, con đang làm cho chính mình.' là để con hiểu rằng sự an yên của con cũng là sự an yên của vũ trụ. Hãy ôm lấy chính mình và gửi tình yêu đến vạn vật để xoa dịu tâm trí lo âu.","Cơ chế 'Nhất Thể' (Oneness Gauge): Thiết lập một thanh liên kết năng lượng giữa người chơi và môi trường/NPC. Khi người chơi gây sát thương hoặc giúp đỡ kẻ khác, một lượng hiệu ứng (heal hoặc tổn thương) tương ứng sẽ dội ngược lại bản thân. Lựa chọn hội thoại thể hiện tinh thần 'Điều mà con làm cho bản thân, con cũng đang làm cho người khác. Và điều con làm cho người khác, con đang làm cho chính mình.' sẽ mở khóa dòng năng lượng cộng hưởng, hồi sinh khí lực (HP/MP) cho cả đội mà không cần dùng vật phẩm."
5,Sự Thật Tối Hậu,"Không có gì con PHẢI làm, không có gì con cần CÓ, và không có gì con cần trở THÀNH. Hãy chỉ nhận ra con là ai.","Đây là những mệnh đề giải phóng linh hồn khỏi các xiềng xích luân lý do con người tự đặt ra. Siêu hình học chỉ ra rằng linh hồn con hoàn toàn tự do và không chịu sự ràng buộc của bất kỳ hình phạt nào. Ý nghĩa sâu xa của 'Không có gì con PHẢI làm, không có gì con cần CÓ, và không có gì con cần trở THÀNH. Hãy chỉ nhận ra con là ai.' là để con nhận ra tính tự trị tuyệt đối của linh hồn, tự do sáng tạo cuộc đời mà không bị đè nặng bởi cảm giác tội lỗi hay nghĩa vụ.","Nếu anh Kiên đang mệt mỏi, hãy cho phép mình được 'không làm gì cả'. Với thông điệp 'Không có gì con PHẢI làm, không có gì con cần CÓ, và không có gì con cần trở THÀNH. Hãy chỉ nhận ra con là ai.', hãy rũ bỏ áp lực phải hoàn hảo, phải thành công, hay thậm chí là áp lực phải ngủ ngay lập tức. Chấp nhận trạng thái hiện tại chính là chìa khóa để cơ thể tự cân bằng và hồi phục năng lượng.","Cơ chế 'Zero Obligation' (Vô Bộ): Trò chơi loại bỏ thanh đo 'Nhiệm vụ bắt buộc'. Người chơi có thể hoàn thành game bằng cách chọn 'Không làm gì' hoặc tự do dạo chơi. Khi đối mặt với thử thách, việc chọn tinh thần 'Không có gì con PHẢI làm, không có gì con cần CÓ, và không có gì con cần trở THÀNH. Hãy chỉ nhận ra con là ai.' giúp nhân vật mở khóa một kết cục ẩn siêu thoát (Pacifist/Ascension Ending) mà không cần chiến đấu."
6,Nhất Thể,Ta chưa từng gửi đến cho con điều gì khác ngoài những thiên thần. Mọi người con gặp đều mang đến một món quà trải nghiệm.,"Thông điệp này từ Quyển 2 chạm đến cốt tủy của Chân lý tối hậu: Sự chia rẽ chỉ là một ảo ảnh vật lý. Trong thế giới thực tại siêu hình, không có ranh giới giữa Ta (Thượng đế) và con, hay giữa con và vạn vật. Khi con hiểu rằng 'Ta chưa từng gửi đến cho con điều gì khác ngoài những thiên thần. Mọi người con gặp đều mang đến một món quà trải nghiệm.', con nhận ra mọi hành động con gieo cho thế giới đều dội ngược lại chính mình, bởi vì tất cả chúng ta đều là các tế bào trên một cơ thể thiêng liêng duy nhất.","Khi con thấy mệt mỏi hay mất ngủ, hãy thả lỏng và ngưng gồng gánh thế giới một mình. Hãy nhận thức rằng con đang kết nối với dòng sinh lực vũ trụ. Lời nhắc 'Ta chưa từng gửi đến cho con điều gì khác ngoài những thiên thần. Mọi người con gặp đều mang đến một món quà trải nghiệm.' là để con hiểu rằng sự an yên của con cũng là sự an yên của vũ trụ. Hãy ôm lấy chính mình và gửi tình yêu đến vạn vật để xoa dịu tâm trí lo âu.","Cơ chế 'Nhất Thể' (Oneness Gauge): Thiết lập một thanh liên kết năng lượng giữa người chơi và môi trường/NPC. Khi người chơi gây sát thương hoặc giúp đỡ kẻ khác, một lượng hiệu ứng (heal hoặc tổn thương) tương ứng sẽ dội ngược lại bản thân. Lựa chọn hội thoại thể hiện tinh thần 'Ta chưa từng gửi đến cho con điều gì khác ngoài những thiên thần. Mọi người con gặp đều mang đến một món quà trải nghiệm.' sẽ mở khóa dòng năng lượng cộng hưởng, hồi sinh khí lực (HP/MP) cho cả đội mà không cần dùng vật phẩm."
7,Nhất Thể,"Ta là tất cả: Alpha và Omega, khởi đầu và kết thúc, lên và xuống, trong và ngoài, tại đây và bây giờ.","Thông điệp này từ Quyển 3 chạm đến cốt tủy của Chân lý tối hậu: Sự chia rẽ chỉ là một ảo ảnh vật lý. Trong thế giới thực tại siêu hình, không có ranh giới giữa Ta (Thượng đế) và con, hay giữa con và vạn vật. Khi con hiểu rằng 'Ta là tất cả: Alpha và Omega, khởi đầu và kết thúc, lên và xuống, trong và ngoài, tại đây và bây giờ.', con nhận ra mọi hành động con gieo cho thế giới đều dội ngược lại chính mình, bởi vì tất cả chúng ta đều là các tế bào trên một cơ thể thiêng liêng duy nhất.","Khi con thấy mệt mỏi hay mất ngủ, hãy thả lỏng và ngưng gồng gánh thế giới một mình. Hãy nhận thức rằng con đang kết nối với dòng sinh lực vũ trụ. Lời nhắc 'Ta là tất cả: Alpha và Omega, khởi đầu và kết thúc, lên và xuống, trong và ngoài, tại đây và bây giờ.' là để con hiểu rằng sự an yên của con cũng là sự an yên của vũ trụ. Hãy ôm lấy chính mình và gửi tình yêu đến vạn vật để xoa dịu tâm trí lo âu.","Cơ chế 'Nhất Thể' (Oneness Gauge): Thiết lập một thanh liên kết năng lượng giữa người chơi và môi trường/NPC. Khi người chơi gây sát thương hoặc giúp đỡ kẻ khác, một lượng hiệu ứng (heal hoặc tổn thương) tương ứng sẽ dội ngược lại bản thân. Lựa chọn hội thoại thể hiện tinh thần 'Ta là tất cả: Alpha và Omega, khởi đầu và kết thúc, lên và xuống, trong và ngoài, tại đây và bây giờ.' sẽ mở khóa dòng năng lượng cộng hưởng, hồi sinh khí lực (HP/MP) cho cả đội mà không cần dùng vật phẩm."
8,Bản Chất Thượng Đế,"Sự khác biệt duy nhất giữa Ta và con là Ta biết Ta là ai, còn con thì đang tạm quên điều đó.","Thượng đế trong đối thoại không phải là đấng phán xét râu trắng đứng trên cao để cân đo tội lỗi, mà chính là Nguồn năng lượng Tình yêu vô điều kiện bao trùm vạn vật. Lời khẳng định 'Sự khác biệt duy nhất giữa Ta và con là Ta biết Ta là ai, còn con thì đang tạm quên điều đó.' làm sụp đổ hoàn toàn mọi tín điều tôn giáo sợ hãi truyền thống. Ta đồng hành, trải nghiệm và tự nhận biết mình qua từng niềm vui, nỗi buồn và cả những sai lầm của con.","Đừng tự trách phạt bản thân khi con cảm thấy trì trệ hay không ngủ được. Thượng đế yêu thương con vô điều kiện ngay cả khi con cảm thấy mình 'bất toàn' nhất. Hãy nhắm mắt lại, cảm nhận thông điệp 'Sự khác biệt duy nhất giữa Ta và con là Ta biết Ta là ai, còn con thì đang tạm quên điều đó.' như một cái ôm ấm áp và buông bỏ mọi gánh nặng phán xét để chìm vào giấc ngủ an lành.","Cơ chế 'Hội thoại Thượng đế' (Divine Conversation): Khi người chơi gặp các thần linh hoặc đền thờ, thay vì nhận nhiệm vụ diệt quái thông thường, họ sẽ đối thoại dựa trên câu nói 'Sự khác biệt duy nhất giữa Ta và con là Ta biết Ta là ai, còn con thì đang tạm quên điều đó.'. Lựa chọn tin tưởng vào bản tính bao dung sẽ xóa bỏ hoàn toàn các debuff (nguyền rủa, lo âu) của nhân vật và ban cho họ nội tại 'Tự do Ý chí' (miễn nhiễm khống chế)."
9,Sự Thật Tối Hậu,Không có luật lệ nào của Thượng đế ngoại trừ tự do ý chí tuyệt đối. Luật duy nhất của Thượng đế là không có luật nào cả.,"Đây là những mệnh đề giải phóng linh hồn khỏi các xiềng xích luân lý do con người tự đặt ra. Siêu hình học chỉ ra rằng linh hồn con hoàn toàn tự do và không chịu sự ràng buộc của bất kỳ hình phạt nào. Ý nghĩa sâu xa của 'Không có luật lệ nào của Thượng đế ngoại trừ tự do ý chí tuyệt đối. Luật duy nhất của Thượng đế là không có luật nào cả.' là để con nhận ra tính tự trị tuyệt đối của linh hồn, tự do sáng tạo cuộc đời mà không bị đè nặng bởi cảm giác tội lỗi hay nghĩa vụ.","Nếu anh Kiên đang mệt mỏi, hãy cho phép mình được 'không làm gì cả'. Với thông điệp 'Không có luật lệ nào của Thượng đế ngoại trừ tự do ý chí tuyệt đối. Luật duy nhất của Thượng đế là không có luật nào cả.', hãy rũ bỏ áp lực phải hoàn hảo, phải thành công, hay thậm chí là áp lực phải ngủ ngay lập tức. Chấp nhận trạng thái hiện tại chính là chìa khóa để cơ thể tự cân bằng và hồi phục năng lượng.","Cơ chế 'Zero Obligation' (Vô Bộ): Trò chơi loại bỏ thanh đo 'Nhiệm vụ bắt buộc'. Người chơi có thể hoàn thành game bằng cách chọn 'Không làm gì' hoặc tự do dạo chơi. Khi đối mặt với thử thách, việc chọn tinh thần 'Không có luật lệ nào của Thượng đế ngoại trừ tự do ý chí tuyệt đối. Luật duy nhất của Thượng đế là không có luật nào cả.' giúp nhân vật mở khóa một kết cục ẩn siêu thoát (Pacifist/Ascension Ending) mà không cần chiến đấu."
10,Nhất Thể,"Khi con không còn nhìn thấy Ta ở ngoài con, mà tìm thấy Ta trong từng hơi thở, khi đó con đã giao hòa với Ta.","Thông điệp này từ Quyển 1 chạm đến cốt tủy của Chân lý tối hậu: Sự chia rẽ chỉ là một ảo ảnh vật lý. Trong thế giới thực tại siêu hình, không có ranh giới giữa Ta (Thượng đế) và con, hay giữa con và vạn vật. Khi con hiểu rằng 'Khi con không còn nhìn thấy Ta ở ngoài con, mà tìm thấy Ta trong từng hơi thở, khi đó con đã giao hòa với Ta.', con nhận ra mọi hành động con gieo cho thế giới đều dội ngược lại chính mình, bởi vì tất cả chúng ta đều là các tế bào trên một cơ thể thiêng liêng duy nhất.","Khi con thấy mệt mỏi hay mất ngủ, hãy thả lỏng và ngưng gồng gánh thế giới một mình. Hãy nhận thức rằng con đang kết nối với dòng sinh lực vũ trụ. Lời nhắc 'Khi con không còn nhìn thấy Ta ở ngoài con, mà tìm thấy Ta trong từng hơi thở, khi đó con đã giao hòa với Ta.' là để con hiểu rằng sự an yên của con cũng là sự an yên của vũ trụ. Hãy ôm lấy chính mình và gửi tình yêu đến vạn vật để xoa dịu tâm trí lo âu.","Cơ chế 'Nhất Thể' (Oneness Gauge): Thiết lập một thanh liên kết năng lượng giữa người chơi và môi trường/NPC. Khi người chơi gây sát thương hoặc giúp đỡ kẻ khác, một lượng hiệu ứng (heal hoặc tổn thương) tương ứng sẽ dội ngược lại bản thân. Lựa chọn hội thoại thể hiện tinh thần 'Khi con không còn nhìn thấy Ta ở ngoài con, mà tìm thấy Ta trong từng hơi thở, khi đó con đã giao hòa với Ta.' sẽ mở khóa dòng năng lượng cộng hưởng, hồi sinh khí lực (HP/MP) cho cả đội mà không cần dùng vật phẩm."
